,mean,median,min,max
0,10000.0,10000.0,10000.0,10000.0
1,10008.90898732709,10017.895335977611,9349.7315866953,10807.470743532973
2,9999.284006769854,9999.890501784477,9174.109763087821,11198.512346656194
3,10009.177611517902,10002.48684305487,9074.084334802545,11525.178633166608
4,10043.036933590094,10014.387864238526,8766.020532684657,11566.574822177678
5,10047.233559409988,10030.197810053358,8573.490061557366,12218.380918498367
6,10068.193932121689,10047.102334679377,8463.335293632435,12399.689992202813
7,10099.675889328546,10054.534432529214,8366.132503069572,11921.858477661886
8,10094.408235198533,10083.28329022803,8472.436814248676,11946.824295143095
9,10095.676942422086,10085.43650847458,8220.74915442351,12517.337699146936
10,10109.766612321071,10068.287335081288,8254.10440441838,12887.457779492192
11,10128.368298533274,10127.165965083834,8150.716776691415,13090.46316761199
12,10147.76332305722,10142.806044384806,8096.922982746866,13495.824736959901
13,10161.488070192036,10115.657627555476,7995.852906229471,13522.223090234447
14,10183.979642591106,10179.914999456452,8113.350425220764,14040.616054248467
15,10194.723512043014,10178.543813126673,7950.55569765417,13726.01390859755
16,10215.610407438944,10208.341504434322,7903.845617916821,13895.76692081071
17,10214.534173821161,10182.975075029637,7596.884641899656,13844.93536537731
18,10229.94910535963,10166.020815079002,7841.0023852190125,13852.211806366413
19,10235.819705768683,10168.204509791154,7709.871546220213,13701.39141153145
20,10258.512658523196,10201.474882535755,7602.818220840176,13691.797136833784
21,10260.14406344701,10207.430862314117,7464.593318209798,13516.286008320372
22,10272.95866518909,10176.92472577006,7506.176726716858,13436.750067279161
23,10292.385578501715,10187.729424810008,7181.255251999892,13788.5750052514
24,10304.404976013606,10198.730041225841,6932.881394170024,13731.903051427444
25,10325.761915300227,10190.255328706626,6870.56938267145,14145.415945575414
26,10349.734082940775,10232.847245977488,6848.845253368269,14400.156582694144
27,10366.176238270125,10288.250564878197,6674.353965782165,14679.14056605107
28,10399.234831541728,10331.09533264769,6488.614877489759,14412.2779937631
29,10411.197492440728,10322.729134877975,6537.961545691656,14418.800519582992
30,10429.683972596431,10370.280901141996,6680.995758705601,14781.395873807201
31,10465.801808527944,10357.149732024704,6831.241565427255,15038.269534432502
32,10489.2153644904,10491.036434743031,6817.56685983961,15332.315377777182
33,10533.64586445053,10490.856936186201,6723.498519932886,15776.395927325231
34,10551.025202757486,10500.63770126184,6701.520198163798,15932.539138563974
35,10566.037868481717,10545.949583461608,6833.942158250826,15991.321905448884
36,10579.792776426713,10526.49355839671,6972.285342725119,15817.966916924513
