Symbol,Date,Close
NFLX,1/2/2015 16:00,49.85
NFLX,1/5/2015 16:00,47.31
NFLX,1/6/2015 16:00,46.5
NFLX,1/7/2015 16:00,46.74
NFLX,1/8/2015 16:00,47.78
NFLX,1/9/2015 16:00,47.04
NFLX,1/12/2015 16:00,45.55
NFLX,1/13/2015 16:00,46.26
NFLX,1/14/2015 16:00,46.32
NFLX,1/15/2015 16:00,46.25
NFLX,1/16/2015 16:00,48.19
NFLX,1/20/2015 16:00,49.83
NFLX,1/21/2015 16:00,58.47
NFLX,1/22/2015 16:00,61.21
NFLX,1/23/2015 16:00,62.49
NFLX,1/26/2015 16:00,63.79
NFLX,1/27/2015 16:00,64.88
NFLX,1/28/2015 16:00,63.21
NFLX,1/29/2015 16:00,63.4
NFLX,1/30/2015 16:00,63.11
NFLX,2/2/2015 16:00,63.01
NFLX,2/3/2015 16:00,65.27
NFLX,2/4/2015 16:00,64.1
NFLX,2/5/2015 16:00,64.13
NFLX,2/6/2015 16:00,63.48
NFLX,2/9/2015 16:00,63.3
NFLX,2/10/2015 16:00,64.85
NFLX,2/11/2015 16:00,64.98
NFLX,2/12/2015 16:00,65.25
NFLX,2/13/2015 16:00,66.59
NFLX,2/17/2015 16:00,67.14
NFLX,2/18/2015 16:00,67.87
NFLX,2/19/2015 16:00,67.8
NFLX,2/20/2015 16:00,68.31
NFLX,2/23/2015 16:00,67.41
NFLX,2/24/2015 16:00,67.84
NFLX,2/25/2015 16:00,68.33
NFLX,2/26/2015 16:00,69
NFLX,2/27/2015 16:00,67.84
NFLX,3/2/2015 16:00,68.61
NFLX,3/3/2015 16:00,67.82
NFLX,3/4/2015 16:00,67.11
NFLX,3/5/2015 16:00,66.81
NFLX,3/6/2015 16:00,64.87
NFLX,3/9/2015 16:00,63.66
NFLX,3/10/2015 16:00,62.15
NFLX,3/11/2015 16:00,62.88
NFLX,3/12/2015 16:00,64.05
NFLX,3/13/2015 16:00,62.63
NFLX,3/16/2015 16:00,60.28
NFLX,3/17/2015 16:00,59.79
NFLX,3/18/2015 16:00,60.45
NFLX,3/19/2015 16:00,60.74
NFLX,3/20/2015 16:00,61.19
NFLX,3/23/2015 16:00,60.71
NFLX,3/24/2015 16:00,62.61
NFLX,3/25/2015 16:00,60.25
NFLX,3/26/2015 16:00,59.75
NFLX,3/27/2015 16:00,59.25
NFLX,3/30/2015 16:00,60.37
NFLX,3/31/2015 16:00,59.53
NFLX,4/1/2015 16:00,59.02
NFLX,4/2/2015 16:00,59.15
NFLX,4/6/2015 16:00,60.33
NFLX,4/7/2015 16:00,60.49
NFLX,4/8/2015 16:00,63.05
NFLX,4/9/2015 16:00,62.79
NFLX,4/10/2015 16:00,64.94
NFLX,4/13/2015 16:00,67.81
NFLX,4/14/2015 16:00,68.39
NFLX,4/15/2015 16:00,67.92
NFLX,4/16/2015 16:00,80.29
NFLX,4/17/2015 16:00,81.65
NFLX,4/20/2015 16:00,81.06
NFLX,4/21/2015 16:00,80.06
NFLX,4/22/2015 16:00,79.67
NFLX,4/23/2015 16:00,79.87
NFLX,4/24/2015 16:00,79.77
NFLX,4/27/2015 16:00,80.87
NFLX,4/28/2015 16:00,80.44
NFLX,4/29/2015 16:00,80.41
NFLX,4/30/2015 16:00,79.5
NFLX,5/1/2015 16:00,79.58
NFLX,5/4/2015 16:00,79.27
NFLX,5/5/2015 16:00,80.79
NFLX,5/6/2015 16:00,80.08
NFLX,5/7/2015 16:00,80.75
NFLX,5/8/2015 16:00,82.09
NFLX,5/11/2015 16:00,84.28
NFLX,5/12/2015 16:00,83.38
NFLX,5/13/2015 16:00,82.87
NFLX,5/14/2015 16:00,83.84
NFLX,5/15/2015 16:00,87.61
NFLX,5/18/2015 16:00,88.27
NFLX,5/19/2015 16:00,88.07
NFLX,5/20/2015 16:00,88.79
NFLX,5/21/2015 16:00,89
NFLX,5/22/2015 16:00,88.84
NFLX,5/26/2015 16:00,87.99
NFLX,5/27/2015 16:00,89.86
NFLX,5/28/2015 16:00,89.51
NFLX,5/29/2015 16:00,89.15
NFLX,6/1/2015 16:00,89
NFLX,6/2/2015 16:00,89.13
NFLX,6/3/2015 16:00,88.81
NFLX,6/4/2015 16:00,89.35
NFLX,6/5/2015 16:00,90.46
NFLX,6/8/2015 16:00,89.6
NFLX,6/9/2015 16:00,92.45
NFLX,6/10/2015 16:00,95.87
NFLX,6/11/2015 16:00,95.09
NFLX,6/12/2015 16:00,94.42
NFLX,6/15/2015 16:00,93.43
NFLX,6/16/2015 16:00,95.27
NFLX,6/17/2015 16:00,94.27
NFLX,6/18/2015 16:00,94.74
NFLX,6/19/2015 16:00,93.87
NFLX,6/22/2015 16:00,96.41
NFLX,6/23/2015 16:00,97.31
NFLX,6/24/2015 16:00,96.94
NFLX,6/25/2015 16:00,94.89
NFLX,6/26/2015 16:00,93.09
NFLX,6/29/2015 16:00,92.23
NFLX,6/30/2015 16:00,93.85
NFLX,7/1/2015 16:00,93.64
NFLX,7/2/2015 16:00,94.04
NFLX,7/6/2015 16:00,94.57
NFLX,7/7/2015 16:00,94.09
NFLX,7/8/2015 16:00,93.51
NFLX,7/9/2015 16:00,95.73
NFLX,7/10/2015 16:00,97.23
NFLX,7/13/2015 16:00,101.09
NFLX,7/14/2015 16:00,100.37
NFLX,7/15/2015 16:00,98.13
NFLX,7/16/2015 16:00,115.81
NFLX,7/17/2015 16:00,114.77
NFLX,7/20/2015 16:00,110.55
NFLX,7/21/2015 16:00,112.51
NFLX,7/22/2015 16:00,111.5
NFLX,7/23/2015 16:00,110.1
NFLX,7/24/2015 16:00,109.34
NFLX,7/27/2015 16:00,106.43
NFLX,7/28/2015 16:00,106.9
NFLX,7/29/2015 16:00,107.08
NFLX,7/30/2015 16:00,111.56
NFLX,7/31/2015 16:00,114.31
NFLX,8/3/2015 16:00,112.56
NFLX,8/4/2015 16:00,121.15
NFLX,8/5/2015 16:00,123.71
NFLX,8/6/2015 16:00,126.45
NFLX,8/7/2015 16:00,123.52
NFLX,8/10/2015 16:00,123.03
NFLX,8/11/2015 16:00,122.74
NFLX,8/12/2015 16:00,120.51
NFLX,8/13/2015 16:00,123.73
NFLX,8/14/2015 16:00,123.39
NFLX,8/17/2015 16:00,125.36
NFLX,8/18/2015 16:00,124.05
NFLX,8/19/2015 16:00,122.06
NFLX,8/20/2015 16:00,112.49
NFLX,8/21/2015 16:00,103.96
NFLX,8/24/2015 16:00,96.88
NFLX,8/25/2015 16:00,101.52
NFLX,8/26/2015 16:00,110.13
NFLX,8/27/2015 16:00,117.66
NFLX,8/28/2015 16:00,117.63
NFLX,8/31/2015 16:00,115.03
NFLX,9/1/2015 16:00,105.79
NFLX,9/2/2015 16:00,105.44
NFLX,9/3/2015 16:00,101.06
NFLX,9/4/2015 16:00,98.79
NFLX,9/8/2015 16:00,94.95
NFLX,9/9/2015 16:00,99.18
NFLX,9/10/2015 16:00,99.48
NFLX,9/11/2015 16:00,97.51
NFLX,9/14/2015 16:00,95.69
NFLX,9/15/2015 16:00,99.16
NFLX,9/16/2015 16:00,104.08
NFLX,9/17/2015 16:00,104.21
NFLX,9/18/2015 16:00,102.62
NFLX,9/21/2015 16:00,100.3
NFLX,9/22/2015 16:00,98.47
NFLX,9/23/2015 16:00,98.07
NFLX,9/24/2015 16:00,103.76
NFLX,9/25/2015 16:00,102.24
NFLX,9/28/2015 16:00,99.47
NFLX,9/29/2015 16:00,98.35
NFLX,9/30/2015 16:00,103.26
NFLX,10/1/2015 16:00,105.98
NFLX,10/2/2015 16:00,106.11
NFLX,10/5/2015 16:00,111.25
NFLX,10/6/2015 16:00,108.33
NFLX,10/7/2015 16:00,108.1
NFLX,10/8/2015 16:00,114.93
NFLX,10/9/2015 16:00,113.33
NFLX,10/12/2015 16:00,113.45
NFLX,10/13/2015 16:00,109.73
NFLX,10/14/2015 16:00,110.23
NFLX,10/15/2015 16:00,101.09
NFLX,10/16/2015 16:00,98.99
NFLX,10/19/2015 16:00,101.69
NFLX,10/20/2015 16:00,98.99
NFLX,10/21/2015 16:00,97.96
NFLX,10/22/2015 16:00,97.32
NFLX,10/23/2015 16:00,100.04
NFLX,10/26/2015 16:00,103.04
NFLX,10/27/2015 16:00,103.07
NFLX,10/28/2015 16:00,105.8
NFLX,10/29/2015 16:00,105.12
NFLX,10/30/2015 16:00,108.38
NFLX,11/2/2015 16:00,107.64
NFLX,11/3/2015 16:00,109.74
NFLX,11/4/2015 16:00,114.05
NFLX,11/5/2015 16:00,113.5
NFLX,11/6/2015 16:00,114.06
NFLX,11/9/2015 16:00,109.86
NFLX,11/10/2015 16:00,112.7
NFLX,11/11/2015 16:00,112.86
NFLX,11/12/2015 16:00,108.92
NFLX,11/13/2015 16:00,103.65
NFLX,11/16/2015 16:00,111.35
NFLX,11/17/2015 16:00,117.1
NFLX,11/18/2015 16:00,120.63
NFLX,11/19/2015 16:00,120.22
NFLX,11/20/2015 16:00,123.84
NFLX,11/23/2015 16:00,125.03
NFLX,11/24/2015 16:00,123.31
NFLX,11/25/2015 16:00,124.16
NFLX,11/27/2015 16:00,125.44
NFLX,11/30/2015 16:00,123.33
NFLX,12/1/2015 16:00,125.37
